,timestamp,customer_id,churn,product_id,categories_expanded
0,2015-04-02,360738,0,[ 53334 102433 408704],"['Medical', 'East', 'Studies', 'History', 'Religious', 'Medicine', 'Religion', 'Middle', 'Spirituality']"
1,2015-01-01,890854,0,[ 29608  60862  73912 107726 112355 157331 265020 378840],"['Entertainment', 'Memoirs', 'Americas', 'Leaders', 'Notable', 'Biographies', 'Fiction', 'Politics', 'History', 'Sciences', 'Government', 'Arts', 'Humor', 'Literature', 'Social', 'Criticism', 'People']"
2,2010-04-08,143697,1,[  8181 321512],"['Thriller', 'Suspense', 'Space', 'Mystery', 'Astronomy', 'Math', 'Science']"
3,2012-10-04,706416,0,[235665 297249 301555 305054 301315],"['Adult', 'Young', 'Fiction', 'Fantasy', 'Literature', 'Science', 'Teen']"
4,2015-04-02,1006111,1,[245719],"['Catholicism', 'Bibles', 'Christian']"
5,2013-01-03,208429,0,"[  2002  13115  89183 235145 235895 239993 255690 285895 298493 307200
 309279 310675 311389 311541 312116 313230 319472 419968 426205 433681
 478993 285843 232374 255709 302123 450456 480274 314909]","['Thriller', 'Literary', 'Fantasy', 'States', 'Activities', 'Action', 'Growing', 'Literature', 'Satire', 'Childrens', 'Erotica', 'Humor', 'Science', 'Teen', 'Contemporary', 'Tales', 'Folk', 'Young', 'Fiction', 'Suspense', 'Crafts', 'Mythology', 'Facts', 'Adventure', 'Adult', 'Romance', 'Mystery', 'Life', 'Games', 'United']"
6,2012-10-04,338558,1,[116548],"['Adult', 'Young', 'Fiction', 'Literature', 'Teen']"
7,2013-10-03,621622,1,[313227 345168],"['Mystery', 'Suspense', 'Thriller']"
8,2014-10-02,790968,0,[ 25414  67392 499493],"['Psychology', 'Counseling', 'Fiction', 'Fitness', 'Literature', 'Health', 'Dieting', 'Classics']"
9,2015-04-02,20997,0,"[ 40943 161043 175092 243492 248104 249944 262667 270917 282207 300284
 302270 316852 318073 319825 329821 333833 335025 335056 335237 337195
 338026 338734 341926 351481 486322 375427 165590]","['Thriller', 'Christian', 'Occult', 'World', 'Fantasy', 'History', 'Communication', 'Living', 'Literature', 'Engineering', 'Publishing', 'Social', 'Self-Help', 'Internet', 'Erotica', 'Contemporary', 'Teen', 'Science', 'Spirituality', 'Media', 'Guides', 'Young', 'Fiction', 'Suspense', 'Bibles', 'Paranormal', 'Transportation', 'Womens', 'Writing', 'Research', 'Technology', 'Adult', 'Computers', 'Romance', 'Skills', 'Reference', 'Mystery', 'Religion']"
10,2015-04-02,1567785,1,[161501],"['Literature', 'Fiction']"
11,2014-01-02,1677144,1,[243467 316766 321069 316730 316676],"['Theology', 'Christian', 'Occult', 'Fiction', 'Fantasy', 'Bibles', 'Paranormal', 'Religion', 'Science', 'Spirituality']"
12,2015-04-02,1153313,1,[467189],"['Fiction', 'Science', 'Fantasy']"
13,2014-07-03,389857,0,[256572 390304 391077 256497],"['Culture', 'Christian', 'Bibles', 'Industries', 'Living', 'Business', 'Money']"
14,2015-04-02,182844,1,"[  1888  53831  57026  76810 141940 466121 502616  51915 141670 220411
 457229]","['Entertainment', 'Thriller', 'Sports', 'Christian', 'Puzzles', 'Fiction', 'Suspense', 'Bibles', 'Humor', 'Mystery', 'Individual', 'Living', 'Outdoors', 'Literature', 'Contemporary', 'Games']"
15,2013-01-03,854015,0,[27834 52572],"['Thriller', 'Fiction', 'Suspense', 'Mystery', 'Literature']"
16,2008-04-10,1194398,0,[ 58877 204896 391424],"['Memoirs', 'Christian', 'Leaders', 'Notable', 'Biographies', 'Bibles', 'Fitness', 'Medicine', 'Living', 'Alternative', 'Health', 'Dieting', 'People']"
17,2013-10-03,1553565,1,[155020 164172],"['Adventure', 'Automotive', 'Engineering', 'Fiction', 'Action', 'Literature', 'Transportation']"
18,2015-07-02,702207,1,[145370],"['Literature', 'Fiction', 'Bibles', 'Christian']"
19,2012-10-04,1339251,1,[85759],"['Literature', 'Fiction']"
20,2015-07-02,646134,0,[249081 326297 328747 333297 337983 342597 343913 345575 446603],"['Adult', 'New', 'Romance', 'Fiction', 'Historical', 'Literature', 'Contemporary', 'College']"
21,2015-04-02,1539358,1,[147774 229433 332191],"['Groups', 'Memoirs', 'Ethnic', 'Biographies', 'Politics', 'National', 'Specific', 'Sciences', 'Social']"
22,2012-07-05,32838,1,"[   346   2097  12648  25742  26140  26130  27817  50721  52058  62461
  66222  73784  93609  93760  93638  93919  93896  93896  93987  93937
  94029  94252  93790  94764  94792  96957 133148 148998 149058 151892
 166989 166940 167383 172182 234605 268724 274158 294641 300700 419164
  52030  52077  52074]","['Thriller', 'Literary', 'Fantasy', 'States', 'Literature', 'Self-Help', 'Ethnic', 'Erotica', 'Science', 'Teen', 'Relationships', 'Stories', 'Young', 'Fiction', 'Suspense', 'National', 'Paranormal', 'Adult', 'Memoirs', 'Romance', 'Biographies', 'Short', 'Mystery', 'Plays', 'Dramas', 'Anthologies', 'United']"
23,2015-04-02,119451,1,[ 50340  75687 149097 259802],"['Thriller', 'Memoirs', 'Fiction', 'Suspense', 'Biographies', 'Mystery', 'Arts', 'Literature', 'Womens']"
24,2015-07-02,799548,1,[25724],"['Behavioral', 'Sciences', 'Science', 'Math']"
25,2014-07-03,939049,0,[242537 242539],"['Romance', 'Fiction', 'Erotica', 'Literature', 'Contemporary']"
26,2012-10-04,182278,1,[190085],"['Memoirs', 'Leaders', 'Notable', 'Biographies', 'People']"
27,2013-01-03,686234,1,[107580 159181 159097],"['Childrens', 'Fiction', 'Life', 'Arts', 'Growing', 'Literature', 'Music', 'Facts', 'Photography']"
28,2010-07-08,323067,0,"[ 11080  11261  11663  73814  88387  94093  94777 104389 104290 269666
 274975 274934]","['World', 'Romance', 'Fiction', 'Erotica', 'Historical', 'States', 'Literature', 'United']"
29,2015-01-01,526088,1,[85391 83838],"['Thriller', 'Suspense', 'Mystery', 'Crafts', 'Home', 'Hobbies']"
30,2013-07-04,748772,1,[149364 158742 158776],"['Childrens', 'Life', 'Animals', 'Growing', 'Facts']"
31,2010-04-08,1554092,1,[37365],[]
32,2014-10-02,238416,1,[421697],"['Entertainment', 'Humor']"
33,2013-10-03,1578097,1,[294936 415855],"['Literature', 'States', 'Fiction', 'United']"
34,2013-01-03,1375213,0,[311341],"['Fiction', 'Transgender', 'Gay', 'Literature', 'Lesbian', 'Bisexual']"
35,2015-04-02,1164498,1,[304810],"['Adult', 'Young', 'Fiction', 'Fantasy', 'Science', 'Teen']"
36,2010-10-07,455861,1,[ 10880 391292 213818],"['Relationships', 'Self-Help', 'New', 'Religion', 'Spirituality', 'Age']"
37,2012-10-04,1529925,0,[305148 384939 431116],"['Piano', 'Entertainment', 'Comics', 'Graphic', 'Arts', 'Instruments', 'Humor', 'Music', 'Photography', 'Novels']"
38,2015-04-02,1179642,1,[282514],"['Romance', 'Suspense', 'Romantic']"
39,2013-04-04,444233,1,[10136],"['Literature', 'Fiction']"
40,2014-04-03,1031366,1,[ 61256 109786],"['Groups', 'Memoirs', 'Literary', 'Fiction', 'Biographies', 'Specific', 'Literature']"
41,2015-04-02,587476,0,"[121828 133665 167035 244963 295402 295554 295559 321418 328422 331653
 332837 334452 335505 337089 337209 337577 341991 341975 342220 352329
 430658 435917 441568 484843 486065 486037 333480]","['Fantasy', 'Growing', 'Literature', 'Childrens', 'New', 'Science', 'Teen', 'Contemporary', 'Western', 'Tales', 'Folk', 'Young', 'Fiction', 'Paranormal', 'Mythology', 'Facts', 'Womens', 'Adult', 'Romance', 'Life', 'College']"
42,2014-01-02,79572,0,"[  2123  27089  87206  87823 163872 167941 195821 199889 221129 281244
 322257 424595 106318 212420 289850 316781 410317 473837]","['Christian', 'Works', 'Living', 'Growing', 'Study', 'Literature', 'Publishing', 'How', 'Childrens', 'Education', 'Animals', 'Science', 'Teen', 'Spirituality', 'Guides', 'Young', 'Fiction', 'Bibles', 'It', 'Facts', 'Writing', 'Research', 'Nature', 'Adult', 'Memoirs', 'Leaders', 'Bible', 'Notable', 'Biographies', 'Reference', 'Life', 'Religion', 'People']"
43,2012-01-05,302369,0,[ 41386  80700  80647 286828 295917],"['Thriller', 'Fiction', 'Suspense', 'States', 'Mystery', 'Literature', 'United']"
44,2009-01-08,982463,1,[45542],"['Parenting', 'Family', 'Relationships']"
45,2013-10-03,512304,0,[23462],"['Literature', 'Literary', 'Fiction']"
46,2013-04-04,1100159,1,[49657],"['Literature', 'States', 'Fiction', 'United']"
47,2014-10-02,109523,1,[ 52826  73809 268725],"['Literature', 'States', 'Fiction', 'United']"
48,2014-10-02,1139055,0,[],[]
49,2015-04-02,970211,1,[ 38223  38223  38825  87552 159155 159459],"['Childrens', 'Fiction', 'Life', 'Growing', 'Literature', 'Facts']"
50,2015-01-01,524545,0,[ 75424 308433],"['Adult', 'Young', 'Fiction', 'Literature', 'Teen']"
51,2014-10-02,1508090,1,[324720],"['Fiction', 'Science', 'Fantasy']"
52,2015-01-01,369375,0,[ 28382  45395 388620 503376 215553],"['World', 'Christian', 'Fiction', 'Romance', 'Bibles', 'History', 'Historical', 'Literature']"
53,2014-10-02,1604837,1,[185423 214156 284916   3236 213254],"['Transportation', 'Design', 'Sports', 'Hunting', 'Space', 'Astronomy', 'Crafts', 'Improvement', 'Math', 'Outdoors', 'Antiques', 'Engineering', 'Science', 'Fishing', 'Home', 'Hobbies', 'Collectibles']"
54,2015-07-02,167117,1,[  1959 334371 338988],"['Memoirs', 'Leaders', 'Notable', 'Biographies', 'Fiction', 'Literature', 'People', 'Classics']"
55,2011-10-06,1014769,1,[203510 294057],"['Fiction', 'Crafts', 'Literature', 'Home', 'Hobbies']"
56,2014-10-02,1249882,0,[ 66766 328255 338357 340475],"['Fiction', 'Romance', 'States', 'Multicultural', 'Literature', 'Contemporary', 'United']"
